x_au,y_au,z_au
0.41952049283941806,-0.9257318755543102,0.0
0.43490348549683955,-0.9185393260537799,0.0
0.45016303563395865,-0.9110860597193873,0.0
0.46529478768705146,-0.903374142890377,0.0
0.48029441889819013,-0.8954057125924775,0.0
0.49515764039218424,-0.8871829760782655,0.0
0.5098801982492256,-0.8787082103534913,0.0
0.5244578745731409,-0.869983761689327,0.0
0.5388864885551422,-0.8610120451204912,0.0
0.5531618975329695,-0.8517955439292078,0.0
0.5672799980453154,-0.8423368091149485,0.0
0.5812367268814127,-0.8326384588499045,0.0
0.5950280621256686,-0.8227031779201428,0.0
0.6086500241972093,-0.8125337171523864,0.0
0.622098676884213,-0.8021328928263632,0.0
0.6353701283728953,-0.791503586072668,0.0
0.6484605322709975,-0.7806487422560764,0.0
0.6613660886256364,-0.7695713703442569,0.0
0.6740830449353674,-0.758274542261808,0.0
0.6866076971562907,-0.7467613922295742,0.0
0.6989363907020492,-0.735035116089167,0.0
0.7110655214375425,-0.7230989706126356,0.0
0.7229915366661782,-0.7109562727972244,0.0
0.7347109361104871,-0.698610399145152,0.0
0.7462202728859064,-0.6860647849283553,0.0
0.7575161544675424,-0.6733229234381347,0.0
0.7685952436497038,-0.6603883652196461,0.0
0.7794542594980118,-0.6472647172911693,0.0
0.7900899782938609,-0.6339556423481136,0.0
0.8004992344710162,-0.6204648579516893,0.0
0.8106789215441181,-0.6067961357022029,0.0
0.8206259930288651,-0.592953300396917,0.0
0.8303374633536285,-0.5789402291724347,0.0
0.8398104087622599,-0.5647608506315563,0.0
0.8490419682078276,-0.5504191439545671,0.0
0.8580293442370321,-0.5359191379949232,0.0
0.8667698038650256,-0.521264910359291,0.0
0.8752606794403696,-0.5064605864719133,0.0
0.883499369499841,-0.4915103386232774,0.0
0.8914833396128033,-0.4764183850030596,0.0
0.8992101232148556,-0.4611889887173257,0.0
0.9066773224304466,-0.44582645678997834,0.0
0.9138826088841537,-0.4303351391484486,0.0
0.9208237245003129,-0.4147194275936229,0.0
0.9274984822906823,-0.39898375475400427,0.0
0.9339047671298024,-0.38313259302414004,0.0
0.9400405365177298,-0.36717045348731736,0.0
0.9459038213298072,-0.3511018848225459,0.0
0.9514927265531145,-0.33493147219588415,0.0
0.9568054320092566,-0.3186638361361206,0.0
0.9618401930631363,-0.30230363139488026,0.0
0.9665953413173378,-0.28585554579119654,0.0
0.9710692852917656,-0.26932429904062427,0.0
0.9752605110881555,-0.2527146415689657,0.0
0.97916758303909,-0.23603135331067804,0.0
0.9827891443411267,-0.21927924249208045,0.0
0.9861239176716569,-0.20246314439944246,0.0
0.9891707057891035,-0.18558792013206254,0.0
0.991928392116057,-0.16865845534049032,0.0
0.9943959413049571,-0.15167965894998187,0.0
0.9965723997859114,-0.13465646186937058,0.0
0.9984568962962459,-0.11759381568548369,0.0
1.0000486423913786,-0.10049669134328909,0.0
1.0013469329366018,-0.08337007781193465,0.0
1.0023511465793606,-0.06621898073689081,0.0
1.0030607462016092,-0.04904842107837759,0.0
1.0034752793518262,-0.03186343373631634,0.0
1.0035943786562698,-0.014669066162007943,0.0
1.0034177622090519,0.002529623043196344,0.0
1.002945233940609,0.01972756554198632,0.0
1.0021766839641495,0.03691968468767931,0.0
1.001112088899652,0.054100896963025946,0.0
0.9997515121750014,0.07126611343091266,0.0
0.9980951043038336,0.0884102411966888,0.0
0.9961431031396801,0.10552818488175215,0.0
0.9938958341059873,0.12261484810809467,0.0
