des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2011 AM37,8,2452296.207165257,2002-Jan-21 16:58,0.0440390441873224,0.0369451552010199,0.0511300449105173,5.07829607895351,5.06636810196062,1_00:47,29.9
4660,277,2452297.015822402,2002-Jan-22 12:23,0.0290239464604011,0.0290239462983269,0.029023946622477,5.41884836402942,5.40188041399385,< 00:01,18.75
2002 AL31,14,2452297.849212215,2002-Jan-23 08:23,0.0149455128820976,0.0148935877692965,0.0149974357123313,7.49983188757045,7.47602295597117,< 00:01,24.5
2007 BD,14,2452299.286655194,2002-Jan-24 18:53,0.0254467456412596,0.0237939710195978,0.0271167486901895,7.64929928577639,7.63559843403504,09:21,25.4
2023 OF2,7,2452300.742526971,2002-Jan-26 05:49,0.0316636297596348,0.0316629862156993,0.031664273523275,9.96393598331168,9.95548699128765,< 00:01,21.21
2002 CY9,24,2452301.154705448,2002-Jan-26 15:43,0.0278169661081652,0.0278165097877181,0.0278174224292827,26.2437666756721,26.2401165599745,< 00:01,19.2
364136,92,2452306.022601020,2002-Jan-31 12:33,0.0315894940545013,0.0315892748900918,0.0315897132214301,20.178445882802,20.1742653949839,< 00:01,20.19
2002 CW11,12,2452307.527067869,2002-Feb-02 00:39,0.0334902818991243,0.0332172031971891,0.033763332091565,5.00693759428702,4.99102239229249,< 00:01,26.1
2002 CB19,15,2452308.482767909,2002-Feb-02 23:35,0.026483428743704,0.0264826646305527,0.0264841928598422,15.7058738494217,15.6994667032225,< 00:01,25.16
2002 CV11,12,2452309.865016554,2002-Feb-04 08:46,0.0483992794515944,0.0474810508520394,0.0493174840928158,12.6557282235997,12.6513775051758,< 00:01,23.8
2002 CC14,10,2452310.066576134,2002-Feb-04 13:36,0.0120693142953054,0.0119932046097059,0.0121454210743975,12.0095094385284,11.9911128517514,< 00:01,24.8
2002 CA26,9,2452310.967495835,2002-Feb-05 11:13,0.00651785820068387,0.0062997565590471,0.00673590871512585,15.2589629579196,15.2321487986409,00:02,27.3
2019 DA,14,2452312.373040895,2002-Feb-06 20:57,0.0318474262954673,0.0318409760387396,0.0318538768183658,6.40936358132199,6.39629687805073,< 00:01,23.17
2002 CB26,9,2452314.299443256,2002-Feb-08 19:11,0.00318636053259569,0.00312391531090968,0.00324879781389655,22.3641040997354,22.3266818885239,00:01,26.9
2015 DD1,7,2452317.215661626,2002-Feb-11 17:11,0.0458022240899246,0.0199884131222223,0.0716647097891962,5.59672156758425,5.58631767316023,3_22:22,30.4
2025 DC,2,2452321.044199344,2002-Feb-15 13:04,0.0419760437135806,0.026614211314166,0.0573389011375229,12.2071563496258,12.2019553254239,05:30,27.52
2002 DC3,9,2452324.026839015,2002-Feb-18 12:39,0.0275597467725924,0.0269211205374053,0.0281981625566068,5.25873150029128,5.2403145681328,00:02,26.1
2025 DU,4,2452327.505373951,2002-Feb-22 00:08,0.0166915985632225,0.00558876519304328,0.0599119974059016,8.38425053280526,8.36518960105577,5_02:22,27.88
2022 RW3,8,2452327.894143148,2002-Feb-22 09:28,0.0434009707564474,0.0428672126092172,0.0441303918625145,1.80660588671818,1.77229808724431,1_01:39,26.82
2011 DR,9,2452328.793233781,2002-Feb-23 07:02,0.0438754979564321,0.0293557307138661,0.186036873055565,5.78152016789091,5.77100676507867,7_09:26,25.8
2017 FB3,10,2452329.931337294,2002-Feb-24 10:21,0.0266299811201957,0.0251257313948967,0.0281590269090855,4.4321343724107,4.40950154213673,04:28,25.9
2025 DJ13,3,2452330.359622896,2002-Feb-24 20:38,0.0116133669080204,0.0104663473417617,0.0917546355233713,7.97117414327704,7.9423392644353,5_07:14,28.10
2019 PB1,3,2452330.371751958,2002-Feb-24 20:55,0.0470114384519054,0.0469943023137728,0.0470285753869632,10.8298962020504,10.8246615298091,00:05,24.81
2002 EV,15,2452331.594584991,2002-Feb-26 02:16,0.0419908639875183,0.0419827210016552,0.0419990069697748,9.22121151192341,9.21432765717012,< 00:01,23.2
138971,376,2452340.183721378,2002-Mar-06 16:25,0.0450719124716681,0.0450717951718946,0.045072029771503,10.3375340549963,10.3318138763772,< 00:01,18.52
2002 CX58,28,2452340.259083980,2002-Mar-06 18:13,0.0396811538071771,0.0396809948686253,0.0396813127457311,9.99736612170256,9.99064737254887,< 00:01,22.3
2002 EM7,17,2452341.541070185,2002-Mar-08 00:59,0.00311008465444615,0.00310371827156376,0.00311645057748887,10.2857862614941,10.2021543862793,00:03,24.4
2002 FW1,9,2452342.164233683,2002-Mar-08 15:56,0.0122562923720458,0.0120833105802825,0.012429250434773,9.18127082892315,9.1575619209856,00:09,24.53
2005 EZ169,12,2452342.496968613,2002-Mar-08 23:56,0.0466608751135827,0.0281302323029085,0.0689277901334278,2.95087857874393,2.93146349820966,8_17:23,25.3
2021 VX11,8,2452345.023084191,2002-Mar-11 12:33,0.0399016761150663,0.0358060075239562,0.046051052564349,5.81439579684012,5.80289981224915,02:58,26.20
2006 SN198,8,2452345.192587213,2002-Mar-11 16:37,0.0187889368205592,0.0118268056759042,0.164009004932586,15.7724104074164,15.763416758716,7_11:14,26.1
2002 EW8,21,2452345.409470312,2002-Mar-11 21:50,0.0423007905174568,0.0423002770260926,0.0423013040091096,9.27500935057606,9.26821561558864,< 00:01,23.84
2002 FB,9,2452347.620487646,2002-Mar-14 02:54,0.0159846589923101,0.015851061422158,0.0161182267303748,5.0086008466427,4.97520882728249,00:02,26.6
2015 VU64,5,2452348.123742054,2002-Mar-14 14:58,0.0221805394863246,0.0165175906464624,0.0281977426113779,4.13767234533891,4.10853728805813,02:48,30.6
612343,26,2452349.309163296,2002-Mar-15 19:25,0.0410057503947001,0.0410052957802995,0.0410062050097673,14.3635844603178,14.3590599334937,< 00:01,22.66
2002 FS6,8,2452349.672225191,2002-Mar-16 04:08,0.041745698638463,0.0399416730208244,0.0435494028453104,7.85147584394596,7.84334240280567,00:02,24.8
